DataID,OldID,N_RivID,Continent,Country,Ori_SR,SpeMatrix,RawSeq,Year,Month,Primer,BarcodeRegion,BarcodeLength,SamVolume,SamReps,TotVolume,,ReferDB,RawSeqID,ReAssigned
D037,Ref043,NR048,Asia,Japan,TRUE,TRUE,FALSE,2019,6,MiFish,12S,170,0.9,1,0.9,D037MiFish,Global_db,,
D037,Ref043,NR048,Asia,Japan,TRUE,TRUE,FALSE,2019,7,MiFish,12S,170,0.9,1,0.9,D037MiFish,Global_db,,
D037,Ref043,NR048,Asia,Japan,TRUE,TRUE,FALSE,2019,8,MiFish,12S,170,0.9,1,0.9,D037MiFish,Global_db,,
D038,Ref044,NR049,Asia,Malaysia,TRUE,TRUE,FALSE,2018,2,COI313,COI,313,1,1,1,D038COI313,Global_db,,
D038,Ref044,NR049,Asia,Malaysia,TRUE,TRUE,FALSE,2018,2,MiFish,12S,170,1,1,1,D038MiFish,Global_db,,
D039,Ref045,NR050,Europe,multiple,TRUE,FALSE,TRUE,2019,7,Teleo,12S,108,28.73,2,57.46,D039Teleo,Custom_db,RS019,yes
D040,Ref046,NR051,Asia,China,TRUE,TRUE,FALSE,2021,6,Riaz01,12S,130,2,1,2,D040Riaz01,Global_db,,
D041,Ref047,NR052,Asia,4 countries,TRUE,TRUE,FALSE,2019,8,MiFish,12S,170,1.75,3.5,6.125,D041MiFish,Custom_db,,
D042,Ref048,NR087;NR088;NR089;NR090;NR091,South_America,French Guiana,TRUE,FALSE,FALSE,2016,11,Teleo,12S,108,34,10,340,D042Teleo,Custom_db,,
D043,Ref049,NR053,South_America,multiple,TRUE,FALSE,FALSE,2017,7,MiFish,12S,170,10,3,30,D043MiFish,Global_db,,
D044,Ref050,NR054;NR055;NR056;NR057,Asia,China,TRUE,TRUE,FALSE,2018,5,Ac12S,12S,390,1,3,3,D044Ac12S,Global_db,,
D045,CD01,NR063,Asia,China,TRUE,TRUE,TRUE,2022,10,Tele02,12S,170,3,6,18,D045Tele02,Global_db,RS020,yes
D046,CD02,NR064,Asia,China,TRUE,TRUE,TRUE,2019,10,MiFish,12S,170,2,3,6,D046MiFish,Global_db,RS013,yes
D046,CD02,NR064,Asia,China,TRUE,TRUE,TRUE,2019,4,MiFish,12S,170,2,3,6,D046MiFish,Global_db,RS013,yes
D047,CD04,NR081,North_America,US,TRUE,TRUE,TRUE,2021,3,Riaz01,12S,230,3,2,6,D047Riaz01,Custom_db,RS028,yes-nofish
D048,CD05,NR093,Oceania,Australia,TRUE,TRUE,TRUE,2018,5,MiFish,12S,170,1,10,10,D048MiFish,Global_db,RS009,yes
D048,CD05,NR093,Oceania,Australia,TRUE,TRUE,TRUE,2018,5,V16S01,16S,200,1,10,10,D048V16S01,Global_db,RS038,yes
D048,CD05,NR093,Oceania,Australia,TRUE,TRUE,TRUE,2018,5,V16S02,16S,200,1,10,10,D048V16S02,Global_db,RS039,yes-nolocalfish
D048,CD05,NR093,Oceania,Australia,TRUE,TRUE,TRUE,2018,5,V16S03,16S,80,1,10,10,D048V16S03,Global_db,RS040,yes
D049,CD06,NR067,Europe,Italy,TRUE,TRUE,TRUE,2019,9,Tele02,12S,170,1,2,2,D049Tele02,Global_db,RS021,no
D049,CD06,NR067,Europe,Italy,TRUE,TRUE,TRUE,2020,1,Tele02,12S,170,1,2,2,D049Tele02,Global_db,RS021,no
D050,CD07,NR082,North_America,US,TRUE,TRUE,TRUE,2018,8,Am12S,12S,241,0.25,3,0.75,D050Am12S,Global_db,RS034,yes
D050,CD07,NR082,North_America,US,TRUE,TRUE,TRUE,2018,10,Am12S,12S,241,0.25,3,0.75,D050Am12S,Global_db,RS034,yes
D050,CD07,NR082,North_America,US,TRUE,TRUE,TRUE,2018,7,Am12S,12S,241,0.25,3,0.75,D050Am12S,Global_db,RS034,yes
D050,CD07,NR082,North_America,US,TRUE,TRUE,TRUE,2018,8,Ac16S,16S,330,0.25,3,0.75,D050Ac16S,Global_db,RS037,yes
D050,CD07,NR082,North_America,US,TRUE,TRUE,TRUE,2018,10,Ac16S,16S,330,0.25,3,0.75,D050Ac16S,Global_db,RS037,yes
D050,CD07,NR082,North_America,US,TRUE,TRUE,TRUE,2018,7,Ac16S,16S,330,0.25,3,0.75,D050Ac16S,Global_db,RS037,yes
D051,CD09,NR068,Europe,Germany,TRUE,TRUE,TRUE,2020,9,Tele02,12S,170,1,1.5,1.5,D051Tele02,Global_db,RS022,no
D051,CD09,NR068,Europe,Germany,TRUE,TRUE,TRUE,2021,3,Tele02,12S,170,1,1.5,1.5,D051Tele02,Global_db,RS022,no
D052,CD13,NR069;NR070;NR071;NR072,Europe,Switzerland,TRUE,TRUE,TRUE,2019,9,MiFish,12S,170,0.5,4,2,D052MiFish,Custom_db,RS010,yes
D053,CD18,NR065,Asia,Japan,TRUE,TRUE,TRUE,2023,8,MiFish,12S,170,400,1,400,D053MiFish,Global_db,RS011,yes
D054,CD22,NR083;NR084,North_America,US,TRUE,TRUE,TRUE,2022,NA,MiFish,12S,170,0.35,1,0.35,D054MiFish,Custom_db,RS049,yes
D055,CD23,NR094,Oceania,Australia,TRUE,TRUE,TRUE,2021,3,MiFish,12S,170,2,4,8,D055MiFish,Custom_db,RS050,yes
D056,CD25,NR095,Africa,Madagascar,TRUE,TRUE,TRUE,2021,11,MiFish,12S,170,0.56,3,1.68,D056MiFish,Global_db,RS012,yes
D056,CD25,NR095,Africa,Madagascar,TRUE,TRUE,TRUE,2021,11,Tele02,12S,170,0.56,3,1.68,D056Tele02,Global_db,RS023,yes
D056,CD25,NR095,Africa,Madagascar,TRUE,TRUE,TRUE,2021,11,Riaz02,12S,230,0.56,3,1.68,D056Riaz02,Global_db,RS029,yes-nofish
D057,CD30,NR104;NR105;NR106;NR107;NR108;NR109;NR110;NR111;NR112,North_America,Panama,TRUE,TRUE,TRUE,2022,8,MiFish,12S,170,2,1,2,D057MiFish,Global_db,RS051,yes
D058,CD37,NR096;NR097,Europe,Spain,TRUE,TRUE,TRUE,2019,8,BCOI,COI,421,1.5,1,1.5,D058BCOI,Global_db,RS052,yes
D059,CD39,NR100,South_America,Columbia,TRUE,TRUE,TRUE,2018,10,Chon01,12S,83,30,2,60,D059Chon01,Custom_db,RS053,yes-nolocalfish
D059,CD39,NR100,South_America,Columbia,TRUE,TRUE,TRUE,2018,10,Teleo,12S,108,30,2,60,D059Teleo,Custom_db,RS054,yes
D059,CD39,NR100,South_America,Columbia,TRUE,TRUE,TRUE,2018,10,Riaz03,12S,99,30,2,60,D059Riaz03,Custom_db,RS055,yes
D060,CD40,NR098;NR099,Europe,Switzerland,TRUE,TRUE,TRUE,2020,6,Riaz03,12S,99,30,3,90,D060Riaz03,Global_db,RS056,yes
D061,CD41,NR101,Asia,China,TRUE,TRUE,FALSE,2019,11,Tele02,12S,170,0.3,3,0.9,D061Tele02,Global_db,,
D062,CD42,NR102;NR103,Asia,China,TRUE,TRUE,TRUE,2022,10,Tele02,12S,170,3,3,9,D062Tele02,Global_db,RS057,yes
