ItemID,DataID,N_RivID,N_SiteID,samID,Continent,Country,RefID,RiverName,Primer,Year,Month,Lon,Lat,SR
I003,D001,NR003,S012,I003_S012,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-81.93025654,42.75045244,1
I003,D001,NR003,S013,I003_S013,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-81.84695748,42.76356433,11
I003,D001,NR003,S014,I003_S014,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-81.86292313,42.81863427,0
I003,D001,NR003,S015,I003_S015,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-81.83515677,42.84331547,9
I003,D001,NR003,S016,I003_S016,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-81.81818845,42.84254418,8
I003,D001,NR003,S017,I003_S017,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-81.79042209,42.85642736,15
I003,D001,NR003,S018,I003_S018,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-81.77422505,42.86105509,7
I003,D001,NR003,S019,I003_S019,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-81.75494286,42.86414024,10
I003,D001,NR003,S020,I003_S020,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-81.74722999,42.87493826,20
I003,D001,NR003,S021,I003_S021,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-81.71097947,42.88727887,11
I003,D001,NR003,S022,I003_S022,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-81.67904816,42.91296274,20
I003,D001,NR003,S023,I003_S023,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-81.67750558,42.92453206,10
I003,D001,NR003,S024,I003_S024,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-81.6451115,42.93918652,15
I003,D001,NR003,S025,I003_S025,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-81.63508476,42.94921326,13
I003,D001,NR003,S026,I003_S026,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-81.60114811,42.96232515,10
I003,D001,NR003,S027,I003_S027,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-81.57800948,42.97852219,13
I003,D001,NR003,S028,I003_S028,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-81.51090746,42.99780438,13
I003,D001,NR003,S029,I003_S029,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-81.50242329,43.01168756,14
I003,D001,NR003,S030,I003_S030,North_America,Canada,Ref001,Sydenham River,PS1,2013,10,-81.48159853,43.0340549,13
I008,D003,NR004,S001,I008_S001,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.16448415,41.34894742,NA
