ItemID,N_RivID,DataID,OldID,Continent,Country,Ori_SR,SpeMatrix,RawSeq,Note,Year,Month,Primer,BarcodeRegion,BarcodeLength,SamVolume,SamReps,TotVolume,ReferDB,RawSeqID,ReAssigned,Tsite,Tspe,Nsite,Nspe,SR_Ave,SR_SD
I023,NR018,D010,Ref010,Europe,UK,TRUE,TRUE,TRUE,V1,2016,11,Riaz01,12S,130,0.05,6,0.3,Global_db,RS025,yes,6,10,6,10,8.833333333,0.40824829
I024,NR018,D010,Ref010,Europe,UK,TRUE,TRUE,TRUE,V1,2016,5,Riaz01,12S,130,0.05,6,0.3,Global_db,RS025,yes,6,10,6,10,8.333333333,0.516397779
I025,NR018,D010,Ref010,Europe,UK,TRUE,TRUE,TRUE,V1,2017,7,Riaz01,12S,130,0.05,6,0.3,Global_db,RS025,yes,6,10,6,10,9.666666667,0.516397779
I026,NR019,D011,Ref011,Europe,UK,TRUE,TRUE,TRUE,V1,2017,11,Riaz01,12S,130,2,5,10,Custom_db,RS026,yes,17,25,17,25,12.11764706,3.838657854
I027,NR075,D012,Ref012,North_America,US,TRUE,TRUE,TRUE,V2,2017,10,A12S,12S,198,3,6,18,Global_db,RS035,yes,7,NA,1,NA,NA,NA
I028,NR076,D012,Ref012,North_America,US,TRUE,TRUE,TRUE,V2,2017,10,A12S,12S,198,3,6,18,Global_db,RS035,yes,7,NA,1,NA,NA,NA
I029,NR077,D012,Ref012,North_America,US,TRUE,TRUE,TRUE,V2,2017,10,A12S,12S,198,3,6,18,Global_db,RS035,yes,7,NA,1,NA,NA,NA
I030,NR073,D012,Ref012,North_America,US,TRUE,TRUE,TRUE,V2,2017,10,A12S,12S,198,3,6,18,Global_db,RS035,yes,7,NA,7,NA,NA,NA
I031,NR074,D012,Ref012,North_America,US,TRUE,TRUE,TRUE,V2,2017,10,A12S,12S,198,3,6,18,Global_db,RS035,yes,7,NA,3,NA,NA,NA
I032,NR078,D012,Ref012,North_America,US,TRUE,TRUE,TRUE,V2,2017,10,A12S,12S,198,3,6,18,Global_db,RS035,yes,7,NA,3,NA,NA,NA
I033,NR020,D013,Ref013,South_America,multiple,FALSE,FALSE,TRUE,V1,2017,10,Teleo,12S,108,34,2,68,Custom_db,RS017,yes,28,158,28,116,56.75,20.26422683
I034,NR021,D013,Ref013,South_America,multiple,FALSE,FALSE,TRUE,V1,2018,11,Teleo,12S,108,34,2,68,Custom_db,RS017,yes,28,158,25,106,67.76,7.019496658
I035,NR066,D014,Ref014,Europe,Switzerland,TRUE,TRUE,TRUE,V2,2016,6,COI313,COI,313,0.25,3,0.75,Custom_db,RS046,yes,61,NA,61,NA,NA,NA
I036,NR062,D015,Ref016,Asia,Thailand,FALSE,FALSE,TRUE,V2,2016,11,Riaz01,12S,106,0.1,6,0.6,Custom_db,RS030,no,39,108,39,82,25.38461538,8.264111964
I037,NR062,D015,Ref016,Asia,Thailand,FALSE,FALSE,TRUE,V2,2016,11,MiFish,12S,170,0.1,6,0.6,Custom_db,RS003,yes,39,108,39,93,21.33333333,6.693804415
I038,NR079,D016,Ref017,North_America,US,TRUE,TRUE,TRUE,V2,2018,3,MiFish,12S,170,0.12,1,0.12,Global_db,RS004,yes,15,NA,15,NA,NA,NA
I040,NR085,D018,Ref019,South_America,Brasil,FALSE,FALSE,TRUE,V2,2019,NA,MiFish,12S,170,1,6,6,Custom_db,RS005,yes,5,NA,5,NA,NA,NA
I041,NR085,D018,Ref019,South_America,Brasil,FALSE,FALSE,TRUE,V2,2020,NA,MiFish,12S,170,1,6,6,Custom_db,RS005,yes,5,NA,2,NA,NA,NA
I043,NR022,D020,Ref022,North_America,US,TRUE,TRUE,TRUE,V1,2015,8,Riaz03,12S,130,0.3,3,0.9,Custom_db,RS027,yes,72,60,72,54,23.02702703,5.320226011
I044,NR023,D021,Ref023,Europe,Germany,TRUE,TRUE,TRUE,V1,2019,6,COI313,COI,316,0.2,3,0.6,Global_db,RS006,yes,6,5,6,5,1.5,1.048808848
I045,NR096,D022,Ref024,Europe,Switzerland,TRUE,TRUE,TRUE,V2,2018,10,Riaz01,12S,106,0.5,2,1,Global_db,RS031,yes,73,17,73,15,3.246575342,1.361992229
I046,NR096,D022,Ref024,Europe,Switzerland,TRUE,TRUE,TRUE,V2,2018,5,Riaz01,12S,106,0.5,2,1,Global_db,RS031,yes,73,17,73,12,3.917808219,1.12735463
I047,NR096,D022,Ref024,Europe,Switzerland,TRUE,TRUE,TRUE,V2,2018,8,Riaz01,12S,106,0.5,2,1,Global_db,RS031,yes,73,17,69,10,3.086956522,1.159857121
I048,NR024,D023,Ref025,Europe,France,TRUE,TRUE,TRUE,V1,NA,NA,Riaz01,12S,230,1,3,3,Global_db,RS018,no,20,22,20,22,10.75,4.777964773
I049,NR086,D024,CD32,South_America,Peru,TRUE,TRUE,TRUE,V2,2018,NA,MiFish,12S,170,0.25,3,0.75,Global_db,RS008,yes,12,NA,12,NA,NA,NA
I050,NR080,D025,CD27,North_America,USA,FALSE,FALSE,TRUE,V2,2019,5,COI313,COI,313,3,3,9,Global_db,RS042,yes,5,6,5,6,2.4,2.073644135
I051,NR025,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2012,NA,AK12S,12S,200,2,1,2,Global_db,RS033,yes,2,8,1,3,3,NA
I052,NR025,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2012,NA,AK16S,16S,200,2,1,2,Global_db,RS041,yes,2,8,1,0,0,NA
I053,NR025,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2012,NA,AKCOIPro,COI,200,2,1,2,Global_db,RS044,yes,2,8,1,0,0,NA
I054,NR025,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2012,NA,AKCOISal,COI,200,2,1,2,Global_db,RS045,yes,2,8,1,0,0,NA
I055,NR025,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2013,NA,AK12S,12S,200,2,1,2,Global_db,RS033,yes,2,8,2,3,2,0
I056,NR026,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2013,NA,AK12S,12S,200,2,1,2,Global_db,RS033,yes,2,8,1,3,3,NA
I057,NR025,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2013,NA,AK16S,16S,200,2,1,2,Global_db,RS041,yes,2,8,2,1,0.5,0.707106781
I058,NR026,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2013,NA,AK16S,16S,200,2,1,2,Global_db,RS041,yes,2,8,1,0,0,NA
I059,NR025,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2013,NA,AKCOIPro,COI,200,2,1,2,Global_db,RS044,yes,2,8,2,1,0.5,0.707106781
I060,NR026,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2013,NA,AKCOIPro,COI,200,2,1,2,Global_db,RS044,yes,2,8,1,0,0,NA
I061,NR025,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2013,NA,AKCOISal,COI,200,2,1,2,Global_db,RS045,yes,2,8,2,0,0,0
I062,NR026,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2013,NA,AKCOISal,COI,200,2,1,2,Global_db,RS045,yes,2,8,1,1,1,NA
I063,NR025,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2014,NA,AK12S,12S,200,2,1,2,Global_db,RS033,yes,2,8,1,2,2,NA
I064,NR026,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2014,NA,AK12S,12S,200,2,1,2,Global_db,RS033,yes,2,8,1,3,3,NA
I065,NR025,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2014,NA,AK16S,16S,200,2,1,2,Global_db,RS041,yes,2,8,1,0,0,NA
I066,NR026,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2014,NA,AK16S,16S,200,2,1,2,Global_db,RS041,yes,2,8,1,0,0,NA
I067,NR025,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2014,NA,AKCOIPro,COI,200,2,1,2,Global_db,RS044,yes,2,8,1,0,0,NA
I068,NR026,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2014,NA,AKCOIPro,COI,200,2,1,2,Global_db,RS044,yes,2,8,1,0,0,NA
I069,NR025,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2014,NA,AKCOISal,COI,200,2,1,2,Global_db,RS045,yes,2,8,1,0,0,NA
I070,NR026,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2014,NA,AKCOISal,COI,200,2,1,2,Global_db,RS045,yes,2,8,1,1,1,NA
I071,NR026,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2015,NA,AK12S,12S,200,2,1,2,Global_db,RS033,yes,2,8,1,3,3,NA
I072,NR026,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2015,NA,AK16S,16S,200,2,1,2,Global_db,RS041,yes,2,8,1,1,1,NA
I073,NR026,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2015,NA,AKCOIPro,COI,200,2,1,2,Global_db,RS044,yes,2,8,1,0,0,NA
I074,NR026,D026,Ref030,North_America,US,TRUE,TRUE,TRUE,V1,2015,NA,AKCOISal,COI,200,2,1,2,Global_db,RS045,yes,2,8,1,1,1,NA
I075,NR027,D027,Ref031,Europe,Russia,TRUE,TRUE,TRUE,V1,2017,8,Ac12S,12S,385,0.25,6,1.5,Custom_db,RS032,no,11,23,11,21,8.818181818,3.600505015
I076,NR027,D027,Ref031,Europe,Russia,TRUE,TRUE,TRUE,V1,2017,8,Ac16S,16S,330,0.25,6,1.5,Custom_db,RS036,no,11,23,11,18,6.909090909,3.419197141
I077,NR027,D027,Ref031,Europe,Russia,TRUE,TRUE,TRUE,V1,2017,8,Cytb01,CytB,413,0.25,6,1.5,Custom_db,RS047,no,11,23,11,16,6.545454545,3.012096823
I082,NR028,D029,Ref034,Asia,Japan,TRUE,TRUE,FALSE,V1,2017,8,MiFish,12S,170,0.7,1,0.7,Global_db,,,11,34,11,33,17.72727273,8.038543513
I083,NR092,D030,Ref035,Oceania,Australia,TRUE,TRUE,FALSE,V2,2013,4,Riaz01,12S,130,1,1,1,Global_db,,,6,10,6,9,1.833333333,1.940790217
I084,NR092,D030,Ref035,Oceania,Australia,TRUE,TRUE,FALSE,V2,2013,4,V16S01,16S,100,1,1,1,Global_db,,,6,10,3,4,2,1
I085,NR038,D031,Ref036,Asia,Japan,TRUE,TRUE,FALSE,V1,2014,9,MiFish,12S,170,1,1,1,Global_db,,,84,55,2,9,4.5,6.363961031
I086,NR037,D031,Ref036,Asia,Japan,TRUE,TRUE,FALSE,V1,2014,9,MiFish,12S,170,1,1,1,Global_db,,,84,55,1,14,14,NA
I087,NR036,D031,Ref036,Asia,Japan,TRUE,TRUE,FALSE,V1,2014,9,MiFish,12S,170,1,1,1,Global_db,,,84,55,2,11,5.5,7.778174593
I088,NR035,D031,Ref036,Asia,Japan,TRUE,TRUE,FALSE,V1,2014,9,MiFish,12S,170,1,1,1,Global_db,,,84,55,4,5,1.25,2.5
I089,NR039,D031,Ref036,Asia,Japan,TRUE,TRUE,FALSE,V1,2014,9,MiFish,12S,170,1,1,1,Global_db,,,84,55,84,47,5.654761905,5.340218053
I090,NR029,D031,Ref036,Asia,Japan,TRUE,TRUE,FALSE,V1,2014,9,MiFish,12S,170,1,1,1,Global_db,,,84,55,1,0,0,NA
I091,NR030,D031,Ref036,Asia,Japan,TRUE,TRUE,FALSE,V1,2014,9,MiFish,12S,170,1,1,1,Global_db,,,84,55,2,2,1,0
I092,NR031,D031,Ref036,Asia,Japan,TRUE,TRUE,FALSE,V1,2014,9,MiFish,12S,170,1,1,1,Global_db,,,84,55,1,1,1,NA
I093,NR032,D031,Ref036,Asia,Japan,TRUE,TRUE,FALSE,V1,2014,9,MiFish,12S,170,1,1,1,Global_db,,,84,55,2,12,9,1.414213562
I094,NR033,D031,Ref036,Asia,Japan,TRUE,TRUE,FALSE,V1,2014,9,MiFish,12S,170,1,1,1,Global_db,,,84,55,2,10,6,5.656854249
I095,NR034,D031,Ref036,Asia,Japan,TRUE,TRUE,FALSE,V1,2014,9,MiFish,12S,170,1,1,1,Global_db,,,84,55,1,10,10,NA
I096,NR040,D032,Ref037,Europe,France,TRUE,TRUE,FALSE,V1,2017,7,Teleo,12S,108,30,2,60,Custom_db,,,9,25,9,21,16,2.061552813
I097,NR040,D032,Ref037,Europe,France,TRUE,TRUE,FALSE,V1,2018,7,Teleo,12S,108,30,2,60,Custom_db,,,9,25,9,23,15.44444444,1.943650632
I098,NR041,D033,Ref038,Europe,France,TRUE,TRUE,FALSE,V1,Multiple,Multiple,Teleo,12S,108,30,3,90,Custom_db,,,3,46,3,40,32.66666667,7.094598885
I100,NR042,D035,Ref040,South_America,Colombia,TRUE,TRUE,FALSE,V1,2019,7,Riaz01,12S,130,42.33,7,296.31,Global_db,,,10,41,10,40,9.4,5.378971401
I101,NR043,D036,Ref042,Oceania,New Zealand,TRUE,TRUE,FALSE,V1,2020,NA,V16S03,16S,80,1,3,3,Global_db,,,1,16,1,5,5,NA
I102,NR044,D036,Ref042,Oceania,New Zealand,TRUE,TRUE,FALSE,V1,2020,NA,V16S03,16S,80,1,3,3,Global_db,,,1,16,1,11,11,NA
I103,NR047,D036,Ref042,Oceania,New Zealand,TRUE,TRUE,FALSE,V1,2020,NA,V16S03,16S,80,1,3,3,Global_db,,,1,16,1,11,11,NA
I104,NR046,D036,Ref042,Oceania,New Zealand,TRUE,TRUE,FALSE,V1,2020,NA,V16S03,16S,80,1,3,3,Global_db,,,1,16,1,6,6,NA
I105,NR045,D036,Ref042,Oceania,New Zealand,TRUE,TRUE,FALSE,V1,2020,NA,V16S03,16S,80,1,3,3,Global_db,,,1,16,1,7,7,NA
I106,NR048,D037,Ref043,Asia,Japan,TRUE,TRUE,FALSE,V1,2018,10,MiFish,12S,170,0.9,1,0.9,Global_db,,,16,33,15,20,6.933333333,2.890048607
I107,NR048,D037,Ref043,Asia,Japan,TRUE,TRUE,FALSE,V1,2018,11,MiFish,12S,170,0.9,1,0.9,Global_db,,,16,33,16,14,4.4375,3.244867743
I108,NR048,D037,Ref043,Asia,Japan,TRUE,TRUE,FALSE,V1,2018,12,MiFish,12S,170,0.9,1,0.9,Global_db,,,16,33,16,19,4.0625,1.806239187
I109,NR048,D037,Ref043,Asia,Japan,TRUE,TRUE,FALSE,V1,2019,1,MiFish,12S,170,0.9,1,0.9,Global_db,,,16,33,16,20,5.125,2.362907813
I110,NR048,D037,Ref043,Asia,Japan,TRUE,TRUE,FALSE,V1,2019,2,MiFish,12S,170,0.9,1,0.9,Global_db,,,16,33,16,15,4.75,2.695675549
I111,NR048,D037,Ref043,Asia,Japan,TRUE,TRUE,FALSE,V1,2019,3,MiFish,12S,170,0.9,1,0.9,Global_db,,,16,33,16,15,5,3.055050463
I112,NR048,D037,Ref043,Asia,Japan,TRUE,TRUE,FALSE,V1,2019,4,MiFish,12S,170,0.9,1,0.9,Global_db,,,16,33,16,12,4.125,2.578759392
I113,NR048,D037,Ref043,Asia,Japan,TRUE,TRUE,FALSE,V1,2019,5,MiFish,12S,170,0.9,1,0.9,Global_db,,,16,33,16,16,4.1875,2.63865496
I114,NR048,D037,Ref043,Asia,Japan,TRUE,TRUE,FALSE,V1,2019,6,MiFish,12S,170,0.9,1,0.9,Global_db,,,16,33,16,14,6,2.394437999
I115,NR048,D037,Ref043,Asia,Japan,TRUE,TRUE,FALSE,V1,2019,7,MiFish,12S,170,0.9,1,0.9,Global_db,,,16,33,16,14,6.625,1.586400538
I116,NR048,D037,Ref043,Asia,Japan,TRUE,TRUE,FALSE,V1,2019,8,MiFish,12S,170,0.9,1,0.9,Global_db,,,16,33,16,20,6.8125,3.059820256
I117,NR049,D038,Ref044,Asia,Malaysia,TRUE,TRUE,FALSE,V1,2018,2,COI313,COI,313,1,1,1,Global_db,,,3,NA,3,NA,19,4
I118,NR049,D038,Ref044,Asia,Malaysia,TRUE,TRUE,FALSE,V1,2018,2,MiFish,12S,170,1,1,1,Global_db,,,3,NA,3,NA,110.3333333,1.527525232
I119,NR050,D039,Ref045,Europe,multiple,TRUE,FALSE,TRUE,V1,2019,7,Teleo,12S,108,28.73,2,57.46,Custom_db,RS019,yes,47,50,47,49,17.80851064,4.785114136
I120,NR051,D040,Ref046,Asia,China,TRUE,TRUE,FALSE,V1,2021,6,Riaz01,12S,130,2,1,2,Global_db,,,13,12,13,12,6.769230769,3.700311837
I121,NR052,D041,Ref047,Asia,4 countries,TRUE,TRUE,FALSE,V1,2019,8,MiFish,12S,170,1.75,3.5,6.125,Custom_db,,,15,NA,15,NA,42.66666667,22.86815211
I122,NR088,D042,Ref048,South_America,French Guiana,TRUE,FALSE,FALSE,V2,2016,11,Teleo,12S,108,34,10,340,Custom_db,,,2,NA,1,NA,20,NA
I123,NR089,D042,Ref048,South_America,French Guiana,TRUE,FALSE,FALSE,V2,2016,11,Teleo,12S,108,34,10,340,Custom_db,,,2,NA,1,NA,48,NA
I124,NR087,D042,Ref048,South_America,French Guiana,TRUE,FALSE,FALSE,V2,2016,11,Teleo,12S,108,34,10,340,Custom_db,,,2,NA,2,NA,45.5,14.8492424
I125,NR090,D042,Ref048,South_America,French Guiana,TRUE,FALSE,FALSE,V2,2016,11,Teleo,12S,108,34,10,340,Custom_db,,,2,NA,1,NA,54,NA
I126,NR091,D042,Ref048,South_America,French Guiana,TRUE,FALSE,FALSE,V2,2016,11,Teleo,12S,108,34,10,340,Custom_db,,,2,NA,1,NA,60,NA
I127,NR053,D043,Ref049,South_America,multiple,TRUE,FALSE,FALSE,V1,2017,7,MiFish,12S,170,10,3,30,Global_db,,,3,221,3,221,90,46.13025038
I128,NR056,D044,Ref050,Asia,China,TRUE,TRUE,FALSE,V1,2018,5,Ac12S,12S,390,1,3,3,Global_db,,,25,63,11,39,14.90909091,5.682509049
I129,NR057,D044,Ref050,Asia,China,TRUE,TRUE,FALSE,V1,2018,5,Ac12S,12S,390,1,3,3,Global_db,,,25,63,25,46,14.45833333,4.942971881
I130,NR055,D044,Ref050,Asia,China,TRUE,TRUE,FALSE,V1,2018,5,Ac12S,12S,390,1,3,3,Global_db,,,25,63,12,45,11.33333333,7.240458716
I131,NR054,D044,Ref050,Asia,China,TRUE,TRUE,FALSE,V1,2018,5,Ac12S,12S,390,1,3,3,Global_db,,,25,63,12,35,14.41666667,3.964807305
I132,NR063,D045,CD01,Asia,China,TRUE,TRUE,TRUE,V2,2022,10,Tele02,12S,170,3,6,18,Global_db,RS020,yes,45,105,45,105,77.53333333,7.482099851
I133,NR064,D046,CD02,Asia,China,TRUE,TRUE,TRUE,V2,2019,10,MiFish,12S,170,2,3,6,Global_db,RS013,yes,11,13,11,9,6,0.894427191
I134,NR064,D046,CD02,Asia,China,TRUE,TRUE,TRUE,V2,2019,4,MiFish,12S,170,2,3,6,Global_db,RS013,yes,11,13,10,13,6.9,1.286683938
I135,NR081,D047,CD04,North_America,US,TRUE,TRUE,TRUE,V2,2021,3,Riaz01,12S,230,3,2,6,Custom_db,RS028,yes-nofish,14,40,14,40,15.85714286,6.371295519
I136,NR093,D048,CD05,Oceania,Australia,TRUE,TRUE,TRUE,V2,2018,5,V16S01,16S,200,1,10,10,Global_db,RS038,yes,30,63,30,44,12.7,3.228643358
I137,NR093,D048,CD05,Oceania,Australia,TRUE,TRUE,TRUE,V2,2018,5,MiFish,12S,170,1,10,10,Global_db,RS009,yes,30,63,30,27,10.06666667,1.79910578
I138,NR093,D048,CD05,Oceania,Australia,TRUE,TRUE,TRUE,V2,2018,5,V16S02,16S,200,1,10,10,Global_db,RS039,yes-nolocalfish,30,63,14,3,1,0
I139,NR093,D048,CD05,Oceania,Australia,TRUE,TRUE,TRUE,V2,2018,5,V16S03,16S,80,1,10,10,Global_db,RS040,yes,30,63,27,48,14.88888889,6.829423522
I140,NR067,D049,CD06,Europe,Italy,TRUE,TRUE,TRUE,V2,2019,9,Tele02,12S,170,1,2,2,Global_db,RS021,no,13,8,10,4,0.7,0.674948558
I141,NR067,D049,CD06,Europe,Italy,TRUE,TRUE,TRUE,V2,2020,1,Tele02,12S,170,1,2,2,Global_db,RS021,no,13,8,11,5,0.545454545,0.934198733
I142,NR082,D050,CD07,North_America,US,TRUE,TRUE,TRUE,V3,2018,10,Ac16S,16S,330,0.25,3,0.75,Global_db,RS037,yes,160,68,60,47,11.18644068,4.240504916
I143,NR082,D050,CD07,North_America,US,TRUE,TRUE,TRUE,V3,2018,10,Am12S,12S,241,0.25,3,0.75,Global_db,RS034,yes,160,68,60,47,12.36666667,4.32950722
I144,NR082,D050,CD07,North_America,US,TRUE,TRUE,TRUE,V3,2018,7,Ac16S,16S,330,0.25,3,0.75,Global_db,RS037,yes,160,68,80,2,0.2,0.421637021
I145,NR082,D050,CD07,North_America,US,TRUE,TRUE,TRUE,V3,2018,7,Am12S,12S,241,0.25,3,0.75,Global_db,RS034,yes,160,68,80,9,1.2,1.549193338
I146,NR082,D050,CD07,North_America,US,TRUE,TRUE,TRUE,V3,2018,8,Ac16S,16S,330,0.25,3,0.75,Global_db,RS037,yes,160,68,60,35,8.879310345,2.914438264
I147,NR082,D050,CD07,North_America,US,TRUE,TRUE,TRUE,V3,2018,8,Am12S,12S,241,0.25,3,0.75,Global_db,RS034,yes,160,68,60,42,9.74137931,2.935328338
I148,NR068,D051,CD09,Europe,Germany,TRUE,TRUE,TRUE,V2,2020,9,Tele02,12S,170,1,1.5,1.5,Global_db,RS022,no,10,61,10,47,24.6,6.866990284
I149,NR068,D051,CD09,Europe,Germany,TRUE,TRUE,TRUE,V2,2021,3,Tele02,12S,170,1,1.5,1.5,Global_db,RS022,no,10,61,10,55,34,6.92820323
I150,NR069,D052,CD13,Europe,Switzerland,TRUE,TRUE,TRUE,V2,2019,9,MiFish,12S,170,0.5,4,2,Custom_db,RS010,yes,74,59,12,48,21.25,4.788717801
I151,NR070,D052,CD13,Europe,Switzerland,TRUE,TRUE,TRUE,V2,2019,9,MiFish,12S,170,0.5,4,2,Custom_db,RS010,yes,74,59,74,59,24.10810811,4.302173925
I152,NR071,D052,CD13,Europe,Switzerland,TRUE,TRUE,TRUE,V2,2019,9,MiFish,12S,170,0.5,4,2,Custom_db,RS010,yes,74,59,4,34,22.5,4.041451884
I153,NR072,D052,CD13,Europe,Switzerland,TRUE,TRUE,TRUE,V2,2019,9,MiFish,12S,170,0.5,4,2,Custom_db,RS010,yes,74,59,2,29,23.5,0.707106781
I154,NR065,D053,CD18,Asia,Japan,TRUE,TRUE,TRUE,V2,2023,8,MiFish,12S,170,400,1,400,Global_db,RS011,yes,10,56,10,56,23.9,3.034981237
I155,NR083,D054,CD22,North_America,US,TRUE,TRUE,TRUE,V2,multiple,multiple,MiFish,12S,170,0.35,1,0.35,Custom_db,RS049,yes,29,99,29,64,16.09090909,10.51941104
I156,NR084,D054,CD22,North_America,US,TRUE,TRUE,TRUE,V2,multiple,multiple,MiFish,12S,170,0.35,1,0.35,Custom_db,RS049,yes,29,99,22,36,8.466666667,5.501514943
I157,NR094,D055,CD23,Oceania,Australia,TRUE,TRUE,TRUE,V2,2021,3,MiFish,12S,170,2,4,8,Custom_db,RS050,yes,10,11,10,11,8.6,1.264911064
