DataID,OldID,N_RivID,Continent,Country,Ori_SR,SpeMatrix,RawSeq,Note,Year,Month,Primer,BarcodeRegion,BarcodeLength,SamVolume,SamReps,TotVolume,ReferDB
D013,Ref013,NR020;NR021,South_America,multiple,FALSE,FALSE,TRUE,V1,2018,11,Teleo,12S,108,34,2,68,Custom_db
D014,Ref014,NR066,Europe,Switzerland,TRUE,TRUE,TRUE,V2,2016,6,COI,COI,313,0.25,3,0.75,Custom_db
D015,Ref016,NR062,Asia,Thailand,FALSE,FALSE,TRUE,V2,2016,11,MiFish,12S,170,0.1,6,0.6,Custom_db
D015,Ref016,NR062,Asia,Thailand,FALSE,FALSE,TRUE,V2,2016,11,Kelly,12S,106,0.1,6,0.6,Custom_db
D016,Ref017,NR079,North_America,US,TRUE,TRUE,TRUE,V2,2018,3,MiFish,12S,170,0.12,1,0.12,Global_db
D017,Ref018,0,Oceania,New Zealand,FALSE,FALSE,TRUE,V2,2018,1,MiFish,12S,170,0.6,3,1.8,Global_db
D018,Ref019,NR085,South_America,Brasil,FALSE,FALSE,TRUE,V2,2019,NA,MiFish,12S,170,1,6,6,Custom_db
D018,Ref019,NR085,South_America,Brasil,FALSE,FALSE,TRUE,V2,2020,NA,MiFish,12S,170,1,6,6,Custom_db
D019,Ref021,0,North_America,US,FALSE,FALSE,TRUE,V2,2018,6,12SV5,12S,130,0.3,12,3.6,Global_db
D020,Ref022,NR022,North_America,US,TRUE,TRUE,TRUE,V1,2015,8,12SV5,12S,130,0.3,3,0.9,Custom_db
D021,Ref023,NR023,Europe,Germany,TRUE,TRUE,TRUE,V1,2019,6,COI,COI,316,0.2,3,0.6,Global_db
D022,Ref024,NR096,Europe,Switzerland,TRUE,TRUE,TRUE,V2,2018,5,Kelly,12S,106,0.5,2,1,Global_db
D022,Ref024,NR096,Europe,Switzerland,TRUE,TRUE,TRUE,V2,2018,8,Kelly,12S,106,0.5,2,1,Global_db
D022,Ref024,NR096,Europe,Switzerland,TRUE,TRUE,TRUE,V2,2018,10,Kelly,12S,106,0.5,2,1,Global_db
D023,Ref025,NR024,Europe,France,TRUE,TRUE,TRUE,V1,NA,NA,Riaz,12S,230,1,3,3,Global_db
D024,CD32,NR086,South_America,Peru,TRUE,TRUE,TRUE,V2,2018,NA,MiFish,12S,170,0.25,3,0.75,Global_db
D025,CD27,NR080,North_America,US,FALSE,FALSE,TRUE,V2,2019,5,COI,COI,313,3,3,9,Global_db
D026,Ref030,NR025;NR026,North_America,US,TRUE,TRUE,TRUE,V1,2013,NA,AK12S,12S,200,2,1,2,Global_db
D026,Ref030,NR025;NR026,North_America,US,TRUE,TRUE,TRUE,V1,2013,NA,AK16S,16S,200,2,1,2,Global_db
D026,Ref030,NR025;NR026,North_America,US,TRUE,TRUE,TRUE,V1,2013,NA,AKCOIPro,COI,200,2,1,2,Global_db
D026,Ref030,NR025;NR026,North_America,US,TRUE,TRUE,TRUE,V1,2013,NA,AKCOISal,COI,200,2,1,2,Global_db
D026,Ref030,NR025;NR026,North_America,US,TRUE,TRUE,TRUE,V1,2012,NA,AK12S,12S,200,2,1,2,Global_db
D026,Ref030,NR025;NR026,North_America,US,TRUE,TRUE,TRUE,V1,2012,NA,AK16S,16S,200,2,1,2,Global_db
D026,Ref030,NR025;NR026,North_America,US,TRUE,TRUE,TRUE,V1,2012,NA,AKCOIPro,COI,200,2,1,2,Global_db
D026,Ref030,NR025;NR026,North_America,US,TRUE,TRUE,TRUE,V1,2012,NA,AKCOISal,COI,200,2,1,2,Global_db
D026,Ref030,NR025;NR026,North_America,US,TRUE,TRUE,TRUE,V1,2014,NA,AK12S,12S,200,2,1,2,Global_db
D026,Ref030,NR025;NR026,North_America,US,TRUE,TRUE,TRUE,V1,2014,NA,AK16S,16S,200,2,1,2,Global_db
D026,Ref030,NR025;NR026,North_America,US,TRUE,TRUE,TRUE,V1,2014,NA,AKCOIPro,COI,200,2,1,2,Global_db
D026,Ref030,NR025;NR026,North_America,US,TRUE,TRUE,TRUE,V1,2014,NA,AKCOISal,COI,200,2,1,2,Global_db
D026,Ref030,NR025;NR026,North_America,US,TRUE,TRUE,TRUE,V1,2015,NA,AK12S,12S,200,2,1,2,Global_db
D026,Ref030,NR025;NR026,North_America,US,TRUE,TRUE,TRUE,V1,2015,NA,AK16S,16S,200,2,1,2,Global_db
D026,Ref030,NR025;NR026,North_America,US,TRUE,TRUE,TRUE,V1,2015,NA,AKCOIPro,COI,200,2,1,2,Global_db
D026,Ref030,NR025;NR026,North_America,US,TRUE,TRUE,TRUE,V1,2015,NA,AKCOISal,COI,200,2,1,2,Global_db
D027,Ref031,NR027,Europe,Russia,TRUE,TRUE,TRUE,V1,2017,8,Ac12S,12S,385,0.25,6,1.5,Custom_db
D027,Ref031,NR027,Europe,Russia,TRUE,TRUE,TRUE,V1,2017,8,Ac16S,16S,330,0.25,6,1.5,Custom_db
D027,Ref031,NR027,Europe,Russia,TRUE,TRUE,TRUE,V1,2017,8,L14912/H15149c,CytB,413,0.25,6,1.5,Custom_db
D028,Ref033,0,Asia,Japan,TRUE,TRUE,TRUE,V2,2017,6,MiFish,12S,170,0.4,5,2,Global_db
D028,Ref033,0,Asia,Japan,TRUE,TRUE,TRUE,V2,2017,9,MiFish,12S,170,0.4,5,2,Global_db
D028,Ref033,0,Asia,Japan,TRUE,TRUE,TRUE,V2,2017,12,MiFish,12S,170,0.4,5,2,Global_db
D028,Ref033,0,Asia,Japan,TRUE,TRUE,TRUE,V2,2018,4,MiFish,12S,170,0.4,5,2,Global_db
D029,Ref034,NR028,Asia,Japan,TRUE,TRUE,FALSE,V1,2017,8,MiFish,12S,170,0.7,1,0.7,Global_db
D030,Ref035,NR092,Oceania,Australia,TRUE,TRUE,FALSE,V2,2013,4,12SV5,12S,130,1,1,1,Global_db
D030,Ref035,NR092,Oceania,Australia,TRUE,TRUE,FALSE,V2,2013,4,16S,16S,100,1,1,1,Global_db
D031,Ref036,NR029;NR030;NR031;NR032;NR033;NR034;NR035;NR036;NR037;NR038;NR039,Asia,Japan,TRUE,TRUE,FALSE,V1,2014,9,MiFish,12S,170,1,1,1,Global_db
D032,Ref037,NR040,Europe,France,TRUE,TRUE,FALSE,V1,2017,7,Teleo,12S,108,30,2,60,Custom_db
D032,Ref037,NR040,Europe,France,TRUE,TRUE,FALSE,V1,2018,7,Teleo,12S,108,30,2,60,Custom_db
D033,Ref038,NR041,Europe,France,TRUE,TRUE,FALSE,V1,Multiple,Multiple,Teleo,12S,108,30,3,90,Custom_db
D034,Ref039,0,Oceania,Australia,TRUE,TRUE,FALSE,V2,2018,NA,AcMDB07,12S,320,1,12,12,Global_db
D035,Ref040,NR042,South_America,Colombia,TRUE,TRUE,FALSE,V1,2019,7,12SV5,12S,130,42.33,7,296.31,Global_db
D036,Ref042,NR043;NR044;NR045;NR046;NR047,Oceania,New Zealand,TRUE,TRUE,FALSE,V1,2020,NA,SynShort,16S,80,1,3,3,Global_db
D037,Ref043,NR048,Asia,Japan,TRUE,TRUE,FALSE,V1,2018,10,MiFish,12S,170,0.9,1,0.9,Global_db
D037,Ref043,NR048,Asia,Japan,TRUE,TRUE,FALSE,V1,2018,11,MiFish,12S,170,0.9,1,0.9,Global_db
D037,Ref043,NR048,Asia,Japan,TRUE,TRUE,FALSE,V1,2018,12,MiFish,12S,170,0.9,1,0.9,Global_db
D037,Ref043,NR048,Asia,Japan,TRUE,TRUE,FALSE,V1,2019,1,MiFish,12S,170,0.9,1,0.9,Global_db
D037,Ref043,NR048,Asia,Japan,TRUE,TRUE,FALSE,V1,2019,2,MiFish,12S,170,0.9,1,0.9,Global_db
