ID,DataID,primer,barcode,continent,type,tot.n.seqs,tot.mean.seqs,tot.median.seqs,Species,overlapped,prop.n.seqs,prop.mean.seqs,prop.median.seqs,type2
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Trigonopoma pauciperforatum,FALSE,0.000513824047710105,0.000573237975651035,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Discherodontus schroederi,TRUE,0.000240245543356519,0.000170193126314328,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Lates calcarifer,FALSE,8.01409487801821e-05,0.000121213876521677,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Mystus mysticetus,FALSE,7.55310711954813e-05,6.80040151103006e-05,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Thynnichthys thynnoides,TRUE,8.0318251764209e-05,9.41510795331932e-05,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Cosmochilus harmandi,TRUE,0.000106559093400198,9.59399368105414e-05,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Scaphiodonichthys burmanicus,FALSE,3.2978355029013e-05,3.0530306499656e-05,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Rasbora paviana,TRUE,3.19145371248513e-05,2.88505325684246e-05,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Epalzeorhynchos bicolor,TRUE,3.15599311567974e-05,1.82514458631355e-05,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Raiamas guttatus,TRUE,1.64891775145065e-05,1.65333574173663e-05,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Ambastaia sidthimunki,TRUE,1.41842387221561e-05,1.26301138541613e-05,0,Overlapped
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Pangasius bocourti,FALSE,1.29431178339675e-05,1.38280036185734e-05,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Henicorhynchus siamensis,FALSE,1.01062700895362e-05,7.14243202547988e-06,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Probarbus jullieni,FALSE,7.62402831315891e-06,7.68878515585257e-06,0,Unique to reanalyzed
D015_RS003,D015,MiFish,12S,Asia,basin,5640063,144617,153103,Henicorhynchus entmema,FALSE,1.59572685624256e-06,2.02902643460313e-06,0,Unique to reanalyzed
D021_RS006,D021,COI313,COI,Europe,basin,7027,1171.16666666667,98.5,Cyprinus carpio,FALSE,0.91532659740999,0.25553830375203,0.0181818181818182,Unique to reanalyzed
D021_RS006,D021,COI313,COI,Europe,basin,7027,1171.16666666667,98.5,Osmerus eperlanus,TRUE,0.0559271381813007,0.333333333333333,0,Overlapped
D021_RS006,D021,COI313,COI,Europe,basin,7027,1171.16666666667,98.5,Perca fluviatilis,TRUE,0.0129500498078839,0.192759186236245,0.000470072077718584,Overlapped
D021_RS006,D021,COI313,COI,Europe,basin,7027,1171.16666666667,98.5,Leuciscus idus,FALSE,0.00868080261847161,0.166666666666667,0,Unique to reanalyzed
D021_RS006,D021,COI313,COI,Europe,basin,7027,1171.16666666667,98.5,Tinca tinca,TRUE,0.00270385655329444,0.0172874383222421,0,Overlapped
D021_RS006,D021,COI313,COI,Europe,basin,7027,1171.16666666667,98.5,Esox lucius,FALSE,0.00185000711541198,0.0123562481600714,0,Unique to reanalyzed
D021_RS006,D021,COI313,COI,Europe,basin,7027,1171.16666666667,98.5,Lota lota,TRUE,0.00142308239647076,0.0122549019607843,0,Overlapped
D021_RS006,D021,COI313,COI,Europe,basin,7027,1171.16666666667,98.5,Abramis brama,FALSE,0.0011384659171766,0.00980392156862745,0,Unique to reanalyzed
D004_RS007,D004,MiFish,12S,South_America,basin,392755,17852.5,17101,Prochilodus harttii,FALSE,0.796519458695624,0.809632502828236,0.803768135972186,Unique to reanalyzed
D004_RS007,D004,MiFish,12S,South_America,basin,392755,17852.5,17101,Megaleporinus elongatus,FALSE,0.115000445570394,0.121693286429871,0.116092183999911,Unique to reanalyzed
D004_RS007,D004,MiFish,12S,South_America,basin,392755,17852.5,17101,Hoplias malabaricus,TRUE,0.0375577650189049,0.026968123633944,0.0203555274961366,Overlapped
D004_RS007,D004,MiFish,12S,South_America,basin,392755,17852.5,17101,Rhamdia quelen,TRUE,0.0323305877710023,0.0231446525403238,0.0179545656471424,Overlapped
D004_RS007,D004,MiFish,12S,South_America,basin,392755,17852.5,17101,Geophagus brasiliensis,TRUE,0.0151595778538784,0.0112845251265907,0.0133818479153496,Overlapped
D004_RS007,D004,MiFish,12S,South_America,basin,392755,17852.5,17101,Gymnotus carapo,TRUE,0.00336341994373082,0.00724679742681592,0.000185598986642386,Overlapped
D004_RS007,D004,MiFish,12S,South_America,basin,392755,17852.5,17101,Lycengraulis grossidens,FALSE,6.3652913393846e-05,2.65884060443524e-05,0,Unique to reanalyzed
D004_RS007,D004,MiFish,12S,South_America,basin,392755,17852.5,17101,Poecilia reticulata,TRUE,5.09223307150768e-06,3.52360817477097e-06,0,Overlapped
D048_RS009,D048,MiFish,12S,Oceania,basin,168533,5617.76666666667,4068.5,Nematalosa erebi,FALSE,0.310823399571597,0.156318882751991,0,Unique to reanalyzed
D048_RS009,D048,MiFish,12S,Oceania,basin,168533,5617.76666666667,4068.5,Torquigener pleurogramma,TRUE,0.306218960084969,0.54341781402151,0.752265189898981,Overlapped
D048_RS009,D048,MiFish,12S,Oceania,basin,168533,5617.76666666667,4068.5,Leiopotherapon unicolor,FALSE,0.205989331466241,0.105429335184742,0.0275217932752179,Unique to reanalyzed
D048_RS009,D048,MiFish,12S,Oceania,basin,168533,5617.76666666667,4068.5,Aldrichetta forsteri,TRUE,0.00899527095583654,0.0170961731442112,0.00327049972972076,Overlapped
D048_RS009,D048,MiFish,12S,Oceania,basin,168533,5617.76666666667,4068.5,Mugil cephalus,TRUE,0.076477603792729,0.118503399038798,0.0679668790264096,Overlapped
D048_RS009,D048,MiFish,12S,Oceania,basin,168533,5617.76666666667,4068.5,Pseudogobius olorum,TRUE,0.0824289605003174,0.0426621637421327,0,Overlapped
D048_RS009,D048,MiFish,12S,Oceania,basin,168533,5617.76666666667,4068.5,Haletta semifasciata,TRUE,0.00873419449009986,0.015951348722805,0,Overlapped
D048_RS009,D048,MiFish,12S,Oceania,basin,168533,5617.76666666667,4068.5,Bostockia porosa,TRUE,0.000219541573460391,0.000148246577890778,0,Overlapped
D048_RS009,D048,MiFish,12S,Oceania,basin,168533,5617.76666666667,4068.5,Elops hawaiensis,FALSE,0.00011273756474993,0.000472636815920398,0,Unique to reanalyzed
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Barbatula barbatula,TRUE,0.204304277096459,0.17715627165343,0.0341850024326934,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Salmo trutta,TRUE,0.229614724603345,0.275705604685353,0.166802718003411,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Rutilus rutilus,TRUE,0.144889025918969,0.0872514751191267,0,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Gobio gobio,TRUE,0.0632692221875139,0.0692625280407956,0,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Perca fluviatilis,TRUE,0.0380374768254638,0.0234716441640111,0,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Abramis brama,FALSE,0.03602610963939,0.0285575884469595,0,Unique to reanalyzed
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Tinca tinca,TRUE,0.0262199846652522,0.0272490015670991,0,Overlapped
